ImageNr,site,well,plate,plate_acquisition_id,batch_id,compound_id,pert_type,moa,selected_mechanism,valid,train,test
10019,4,E15,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,True
10022,7,E15,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,True
10018,3,E15,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,True
10020,5,E15,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,True
10017,2,E15,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,True
9529,2,B17,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,True,False
9533,6,B17,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,True,False
11559,8,N18,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,True
11558,7,N18,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,True
11555,4,N18,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,True
9535,8,B17,P015080,1322,BJ1895251,CBK041775,trt,,DILI,True,False,False
11557,6,N18,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,True
11554,3,N18,P015080,1322,BJ1897859,CBK309288,trt,cyclooxygenase inhibitor,DILI,False,False,True
9715,4,C19,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,True,False
9873,2,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,True,False,False
9717,6,C19,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,True,False
9719,8,C19,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,True,False
9716,5,C19,P015080,1322,BJ1895251,CBK041775,trt,,DILI,True,False,False
9872,1,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,True,False,False
9712,1,C19,P015080,1322,BJ1895251,CBK041775,trt,,DILI,True,False,False
9714,3,C19,P015080,1322,BJ1895251,CBK041775,trt,,DILI,False,True,False
9879,8,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,True,False
9876,5,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,True,False
9877,6,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,True,False,False
9874,3,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,True,False
9878,7,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,True,False
9875,4,D18,P015080,1322,BJ1898739,CBK290941,trt,cyclooxygenase inhibitor,DILI,False,True,False
14906,3,F17,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
14910,7,F17,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,True,False,False
14732,5,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
14730,3,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
14911,8,F17,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
14909,6,F17,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
14907,4,F17,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
14734,7,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
14728,1,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
14733,6,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,True,False,False
14908,5,F17,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,True,False,False
14731,4,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,True,False,False
14729,2,E16,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
14905,2,F17,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
15591,8,J18,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
15584,1,J18,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
15589,6,J18,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
15585,2,J18,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
15588,5,J18,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
15590,7,J18,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
15586,3,J18,P015082,1323,BJ1895659,CBK201112,trt,selective serotonin reuptake inhibitor (SSRI),DILI,False,True,False
56153,2,N07,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
56152,1,N07,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
56157,6,N07,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
56156,5,N07,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
56154,3,N07,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
56158,7,N07,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
56155,4,N07,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55838,7,L09,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55179,4,H11,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55180,5,H11,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55002,3,G10,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
54338,3,C11,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
55003,4,G10,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55832,1,L09,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
54339,4,C11,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
54336,1,C11,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
55183,8,H11,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55178,3,H11,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55001,2,G10,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55835,4,L09,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
54342,7,C11,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
55833,2,L09,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55007,8,G10,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55005,6,G10,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55181,6,H11,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55000,1,G10,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55006,7,G10,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
54343,8,C11,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
55837,6,L09,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55839,8,L09,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55177,2,H11,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
54340,5,C11,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
55176,1,H11,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55834,3,L09,P015099,1347,BJ1898553,CBK290683,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
54341,6,C11,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
54337,2,C11,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,True,False,False
56359,8,O11,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55022,7,G12,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,True,False,False
56355,4,O11,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55021,6,G12,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,True,False,False
55018,3,G12,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,True,False,False
55020,5,G12,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
55016,1,G12,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,True,False,False
56354,3,O11,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
56356,5,O11,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55017,2,G12,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
55019,4,G12,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
56352,1,O11,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55200,1,H14,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
55202,3,H14,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
55204,5,H14,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
55203,4,H14,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,False,True,False
55207,8,H14,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,True,False,False
55206,7,H14,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,True,False,False
55201,2,H14,P015099,1347,BJ1895040,CBK307798,trt,topoisomerase inhibitor,topoisomerase inhibitor,True,False,False
55753,2,K20,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55758,7,K20,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55756,5,K20,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55759,8,K20,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55757,6,K20,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55755,4,K20,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55754,3,K20,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
55752,1,K20,P015099,1347,BJ1896204,CBK289972,trt,chelating agent|topoisomerase inhibitor,topoisomerase inhibitor,False,False,True
44861,6,C02,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
44860,5,C02,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,True,False,False
46892,5,O04,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
44858,3,C02,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,True,False,False
46881,2,O03,P015095,1345,BJ1894105,CBK040915,trt,phosphodiesterase inhibitor,phosphodiesterase inhibitor,False,True,False
44863,8,C02,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
46889,2,O04,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
46891,4,O04,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
44859,4,C02,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
46895,8,O04,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
46883,4,O03,P015095,1345,BJ1894105,CBK040915,trt,phosphodiesterase inhibitor,phosphodiesterase inhibitor,False,True,False
44857,2,C02,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
46893,6,O04,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,True,False,False
44862,7,C02,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
46894,7,O04,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,True,False,False
46882,3,O03,P015095,1345,BJ1894105,CBK040915,trt,phosphodiesterase inhibitor,phosphodiesterase inhibitor,True,False,False
46890,3,O04,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,True,False,False
46886,7,O03,P015095,1345,BJ1894105,CBK040915,trt,phosphodiesterase inhibitor,phosphodiesterase inhibitor,True,False,False
46887,8,O03,P015095,1345,BJ1894105,CBK040915,trt,phosphodiesterase inhibitor,phosphodiesterase inhibitor,False,True,False
44856,1,C02,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
46408,1,L07,P015095,1345,BJ1894105,CBK040915,trt,phosphodiesterase inhibitor,phosphodiesterase inhibitor,False,True,False
46411,4,L07,P015095,1345,BJ1894105,CBK040915,trt,phosphodiesterase inhibitor,phosphodiesterase inhibitor,True,False,False
46410,3,L07,P015095,1345,BJ1894105,CBK040915,trt,phosphodiesterase inhibitor,phosphodiesterase inhibitor,False,True,False
46414,7,L07,P015095,1345,BJ1894105,CBK040915,trt,phosphodiesterase inhibitor,phosphodiesterase inhibitor,False,True,False
46412,5,L07,P015095,1345,BJ1894105,CBK040915,trt,phosphodiesterase inhibitor,phosphodiesterase inhibitor,False,True,False
46409,2,L07,P015095,1345,BJ1894105,CBK040915,trt,phosphodiesterase inhibitor,phosphodiesterase inhibitor,False,True,False
46415,8,L07,P015095,1345,BJ1894105,CBK040915,trt,phosphodiesterase inhibitor,phosphodiesterase inhibitor,False,True,False
45498,3,F19,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
45503,8,F19,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
45499,4,F19,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
45502,7,F19,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
45500,5,F19,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
45501,6,F19,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
45496,1,F19,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
45497,2,F19,P015095,1345,BJ1899155,CBK309645,trt,NFkB pathway inhibitor,NFkB pathway inhibitor,False,True,False
33119,8,C04,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33116,5,C04,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33118,7,C04,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33113,2,C04,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33115,4,C04,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34309,6,J06,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34305,2,J06,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34308,5,J06,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34306,3,J06,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34831,8,M08,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34824,1,M08,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34828,5,M08,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34825,2,M08,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34829,6,M08,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34826,3,M08,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33500,5,E10,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,True,False,False
33499,4,E10,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
33503,8,E10,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
33497,2,E10,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
33498,3,E10,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
33502,7,E10,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
33496,1,E10,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
34189,6,I12,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33848,1,G12,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
34187,4,I12,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33852,5,G12,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
33851,4,G12,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,True,False,False
33849,2,G12,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
34186,3,I12,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34185,2,I12,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34188,5,I12,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33854,7,G12,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
33850,3,G12,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
34191,8,I12,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34190,7,I12,P015090,1327,BJ1898372,CBK290816,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33853,6,G12,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
33558,7,E17,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33556,5,E17,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33555,4,E17,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33554,3,E17,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33552,1,E17,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33234,3,C19,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33233,2,C19,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
34902,7,M17,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
34903,8,M17,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
34899,4,M17,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,True,False,False
34897,2,M17,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
34896,1,M17,P015090,1327,BJ1898419,CBK291055,trt,HDAC inhibitor,HDAC inhibitor,False,True,False
33232,1,C19,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33236,5,C19,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
33235,4,C19,P015090,1327,BJ1898265,CBK290547,trt,HDAC inhibitor,HDAC inhibitor,False,False,True
